engine,threshold,precision,recall,f1,average_precision,images_embedded
"hash (shipped, distance <= 10)",10.0,0.9999573586225129,0.7713947368421052,0.8709300036767845,0.8291492601083618,0
"CNN, every pair scored",0.985,0.9996860775388479,0.20950657894736843,0.34641429387288897,0.9225206276536367,16000
"cascade (gate <= 16, then CNN)",0.6275,0.9990344044141513,0.8100065789473684,0.8946446737392819,0.8292986812826064,15907
